Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
18:11:10 Jan 05 2021,94,78,0,0,0
18:11:12 Jan 05 2021,94,75,1,0,0
18:11:14 Jan 05 2021,94,74,0,0,0
18:11:16 Jan 05 2021,94,65,0,0,0
18:11:18 Jan 05 2021,94,65,0,0,0
18:11:20 Jan 05 2021,94,65,1,0,0
18:11:22 Jan 05 2021,94,62,0,0,0
18:11:24 Jan 05 2021,93,59,0,0,0
18:11:26 Jan 05 2021,93,56,1,0,0
18:11:28 Jan 05 2021,93,55,1,0,0
18:11:30 Jan 05 2021,93,56,1,0,0
18:11:32 Jan 05 2021,93,56,0,0,0
18:11:34 Jan 05 2021,93,57,1,0,0
18:11:36 Jan 05 2021,94,58,2,0,0
18:11:38 Jan 05 2021,94,58,3,0,0
18:11:40 Jan 05 2021,94,59,1,0,0
18:11:42 Jan 05 2021,94,58,0,0,0
18:11:44 Jan 05 2021,94,57,1,0,0
18:11:46 Jan 05 2021,94,56,0,0,0
18:11:48 Jan 05 2021,94,55,4,0,0
18:11:50 Jan 05 2021,94,56,9,0,0
18:11:52 Jan 05 2021,94,56,0,0,0
18:11:54 Jan 05 2021,94,56,0,0,0
18:11:56 Jan 05 2021,94,56,1,0,0
18:11:58 Jan 05 2021,94,61,1,0,0
18:12:00 Jan 05 2021,94,62,0,0,0
18:12:02 Jan 05 2021,94,64,1,0,0
18:12:04 Jan 05 2021,94,67,0,0,0
18:12:06 Jan 05 2021,94,62,0,0,0
18:12:08 Jan 05 2021,94,64,1,0,0
18:12:10 Jan 05 2021,94,65,0,0,0
18:12:12 Jan 05 2021,94,66,1,0,0
18:12:14 Jan 05 2021,94,66,0,0,0
18:12:16 Jan 05 2021,94,66,1,0,0
18:12:18 Jan 05 2021,94,66,1,0,0
18:12:20 Jan 05 2021,94,67,1,0,0
18:12:22 Jan 05 2021,94,67,0,0,0
18:12:24 Jan 05 2021,94,67,0,0,0
18:12:26 Jan 05 2021,94,67,0,0,0
18:12:28 Jan 05 2021,94,67,1,0,0
18:12:30 Jan 05 2021,94,67,0,0,0
18:12:32 Jan 05 2021,94,67,1,0,0
18:12:34 Jan 05 2021,94,67,1,0,0
18:12:36 Jan 05 2021,94,67,1,0,0
18:12:38 Jan 05 2021,94,70,1,0,0
18:12:40 Jan 05 2021,94,73,0,0,0
18:12:42 Jan 05 2021,94,74,0,0,0
18:12:44 Jan 05 2021,94,76,0,0,0
18:12:46 Jan 05 2021,94,72,1,0,0
18:12:48 Jan 05 2021,94,69,0,0,0
18:12:50 Jan 05 2021,94,68,1,0,0
18:12:52 Jan 05 2021,94,69,0,0,0
18:12:54 Jan 05 2021,94,70,1,0,0
18:12:56 Jan 05 2021,94,73,1,0,0
18:12:58 Jan 05 2021,94,70,1,0,0
18:13:00 Jan 05 2021,94,69,0,0,0
18:13:02 Jan 05 2021,94,69,0,0,0
18:13:04 Jan 05 2021,94,69,1,0,0
18:13:06 Jan 05 2021,93,73,1,0,0
18:13:08 Jan 05 2021,93,74,1,0,0
18:13:10 Jan 05 2021,92,80,1,0,0
18:13:12 Jan 05 2021,92,83,0,0,0
18:13:14 Jan 05 2021,92,84,1,0,0
18:13:16 Jan 05 2021,92,86,1,0,0
18:13:18 Jan 05 2021,92,84,1,0,0
18:13:20 Jan 05 2021,92,83,1,0,0
18:13:22 Jan 05 2021,92,80,1,0,0
18:13:24 Jan 05 2021,92,79,1,0,0
18:13:26 Jan 05 2021,92,78,1,0,0
18:13:28 Jan 05 2021,92,77,1,0,0
18:13:30 Jan 05 2021,92,77,1,0,0
18:13:32 Jan 05 2021,92,79,1,0,0
18:13:34 Jan 05 2021,92,79,1,0,0
18:13:36 Jan 05 2021,92,79,1,0,0
18:13:38 Jan 05 2021,93,80,1,0,0
18:13:40 Jan 05 2021,93,80,1,0,0
18:13:42 Jan 05 2021,93,80,1,0,0
18:13:44 Jan 05 2021,93,80,1,0,0
18:13:46 Jan 05 2021,93,80,0,0,0
18:13:48 Jan 05 2021,93,78,1,0,0
18:13:50 Jan 05 2021,92,73,1,0,0
18:13:52 Jan 05 2021,92,69,0,0,0
18:13:54 Jan 05 2021,92,65,1,0,0
18:13:56 Jan 05 2021,92,64,1,0,0
18:13:58 Jan 05 2021,92,68,1,0,0
18:14:00 Jan 05 2021,92,63,0,0,0
18:14:02 Jan 05 2021,92,58,1,0,0
18:14:04 Jan 05 2021,92,57,1,0,0
18:14:06 Jan 05 2021,91,51,1,0,0
18:14:08 Jan 05 2021,91,48,1,0,0
18:14:10 Jan 05 2021,90,47,1,0,0
18:14:12 Jan 05 2021,90,47,1,0,0
18:14:14 Jan 05 2021,90,47,1,0,0
18:14:16 Jan 05 2021,91,47,0,0,0
18:14:18 Jan 05 2021,92,47,0,0,0
18:14:20 Jan 05 2021,92,47,1,0,0
18:14:22 Jan 05 2021,92,47,1,0,0
18:14:24 Jan 05 2021,92,47,0,0,0
18:14:26 Jan 05 2021,92,47,0,0,0
18:14:28 Jan 05 2021,92,47,0,0,0
18:14:30 Jan 05 2021,92,47,1,0,0
18:14:32 Jan 05 2021,92,47,1,0,0
18:14:34 Jan 05 2021,92,47,1,0,0
18:14:36 Jan 05 2021,93,47,0,0,0
18:14:38 Jan 05 2021,93,47,1,0,0
18:14:40 Jan 05 2021,93,47,1,0,0
18:14:42 Jan 05 2021,93,47,1,0,0
18:14:44 Jan 05 2021,93,47,0,0,0
18:14:46 Jan 05 2021,93,47,0,0,0
18:14:48 Jan 05 2021,93,47,1,0,0
18:14:50 Jan 05 2021,92,45,1,0,0
18:14:52 Jan 05 2021,92,46,0,0,0
18:14:54 Jan 05 2021,92,46,0,0,0
18:14:56 Jan 05 2021,91,45,1,0,0
18:14:58 Jan 05 2021,92,46,1,0,0
18:15:00 Jan 05 2021,92,46,0,0,0
18:15:02 Jan 05 2021,92,46,1,0,0
18:15:04 Jan 05 2021,91,46,0,0,0
18:15:06 Jan 05 2021,91,46,1,0,0
18:15:08 Jan 05 2021,90,46,0,0,0
18:15:10 Jan 05 2021,89,46,1,0,0
18:15:12 Jan 05 2021,89,46,0,0,0
18:15:14 Jan 05 2021,89,47,0,0,0
18:15:16 Jan 05 2021,89,47,1,0,0
18:15:18 Jan 05 2021,89,47,1,0,0
18:15:20 Jan 05 2021,89,47,0,0,0
18:15:22 Jan 05 2021,90,47,0,0,0
18:15:24 Jan 05 2021,90,47,1,0,0
18:15:26 Jan 05 2021,90,47,0,0,0
18:15:28 Jan 05 2021,90,47,1,0,0
18:15:30 Jan 05 2021,90,47,0,0,0
18:15:32 Jan 05 2021,91,46,1,0,0
18:15:34 Jan 05 2021,92,47,1,0,0
18:15:36 Jan 05 2021,92,47,0,0,0
18:15:38 Jan 05 2021,92,48,1,0,0
18:15:40 Jan 05 2021,92,49,0,0,0
18:15:42 Jan 05 2021,92,50,0,0,0
18:15:44 Jan 05 2021,92,50,0,0,0
18:15:46 Jan 05 2021,92,50,1,0,0
18:15:48 Jan 05 2021,92,50,0,0,0
18:15:50 Jan 05 2021,92,50,1,0,0
18:15:52 Jan 05 2021,92,47,0,0,0
18:15:54 Jan 05 2021,92,47,1,0,0
18:15:56 Jan 05 2021,92,47,0,0,0
18:15:58 Jan 05 2021,91,48,0,0,0
18:16:00 Jan 05 2021,91,51,0,0,0
18:16:02 Jan 05 2021,91,53,0,0,0
18:16:04 Jan 05 2021,91,56,1,0,0
18:16:06 Jan 05 2021,91,57,0,0,0
18:16:08 Jan 05 2021,91,64,1,0,0
18:16:10 Jan 05 2021,90,68,1,0,0
18:16:12 Jan 05 2021,90,70,1,0,0
18:16:14 Jan 05 2021,90,72,0,0,0
18:16:16 Jan 05 2021,90,73,1,0,0
18:16:18 Jan 05 2021,90,77,0,0,0
18:16:20 Jan 05 2021,90,79,0,0,0
18:16:22 Jan 05 2021,90,78,0,0,0
18:16:24 Jan 05 2021,90,79,1,0,0
18:16:26 Jan 05 2021,90,79,0,0,0
18:16:28 Jan 05 2021,90,78,0,0,0
18:16:30 Jan 05 2021,90,76,0,0,0
18:16:32 Jan 05 2021,90,75,0,0,0
18:16:34 Jan 05 2021,90,75,0,0,0
18:16:36 Jan 05 2021,91,75,0,0,0
18:16:38 Jan 05 2021,91,76,1,0,0
18:16:40 Jan 05 2021,92,76,1,0,0
18:16:42 Jan 05 2021,92,76,0,0,0
18:16:44 Jan 05 2021,92,76,0,0,0
18:16:46 Jan 05 2021,92,75,0,0,0
18:16:48 Jan 05 2021,92,74,1,0,0
18:16:50 Jan 05 2021,92,73,1,0,0
18:16:52 Jan 05 2021,92,72,1,0,0
18:16:54 Jan 05 2021,92,73,0,0,0
18:16:56 Jan 05 2021,92,73,0,0,0
18:16:58 Jan 05 2021,92,72,0,0,0
18:17:00 Jan 05 2021,92,73,1,0,0
18:17:02 Jan 05 2021,91,73,1,0,0
18:17:04 Jan 05 2021,91,72,1,0,0
18:17:06 Jan 05 2021,90,74,1,0,0
18:17:08 Jan 05 2021,90,69,1,0,0
18:17:10 Jan 05 2021,90,70,0,0,0
18:17:12 Jan 05 2021,90,71,1,0,0
18:17:14 Jan 05 2021,90,70,1,0,0
18:17:16 Jan 05 2021,90,71,0,0,0
18:17:18 Jan 05 2021,90,70,1,0,0
18:17:20 Jan 05 2021,90,71,0,0,0
18:17:22 Jan 05 2021,89,71,1,0,0
18:17:24 Jan 05 2021,89,72,1,0,0
18:17:26 Jan 05 2021,88,70,0,0,0
18:17:28 Jan 05 2021,89,62,0,0,0
18:17:30 Jan 05 2021,89,65,0,0,0
18:17:32 Jan 05 2021,89,62,0,0,0
18:17:34 Jan 05 2021,89,61,0,0,0
18:17:36 Jan 05 2021,89,65,1,0,0
18:17:38 Jan 05 2021,89,64,0,0,0
18:17:40 Jan 05 2021,89,64,1,0,0
18:17:42 Jan 05 2021,90,67,1,0,0
18:17:44 Jan 05 2021,90,60,0,0,0
18:17:46 Jan 05 2021,91,50,0,0,0
18:17:48 Jan 05 2021,92,39,0,0,0
18:17:50 Jan 05 2021,92,34,0,0,0
18:17:52 Jan 05 2021,92,34,0,0,0
18:17:54 Jan 05 2021,92,34,0,0,0
18:17:56 Jan 05 2021,92,35,0,0,0
18:17:58 Jan 05 2021,92,35,1,0,0
18:18:00 Jan 05 2021,92,35,0,0,0
